Time	Latitude	Longitude	Alt.(M)	Dist.(M)	HR (Bpm)	Cadence	Speed	Power
8:12:42 PM	49.238032	-123.170270	65	2.700000048		63	3.128999949	349
8:12:43 PM	49.238001	-123.170244	65	5.119999886		75	3.76699996	430
8:12:44 PM	49.237955	-123.170224	65	7.880000114		86	4.896999836	430
8:12:45 PM	49.237898	-123.170218	65	10.72999954		94	5.96999979	221
8:12:46 PM	49.237833	-123.170218	64.80000305	14.23999977		92	6.303999901	262
8:12:47 PM	49.237764	-123.170224	64.80000305	18.53000069		93	6.327000141	225
8:12:48 PM	49.237697	-123.170234	64.80000305	23.04999924		89	6.326000214	225
8:12:49 PM	49.237631	-123.170241	64.80000305	28.17000008		92	6.514999866	209
8:12:50 PM	49.237567	-123.170248	64.80000305	33.56999969		94	6.630000114	209
8:12:51 PM	49.237502	-123.170254	64.80000305	39.47000122		95	6.657999992	210
8:12:52 PM	49.237438	-123.170260	64.80000305	45.65999985		96	6.84499979	209
8:12:53 PM	49.237372	-123.170269	64.80000305	52.08000183		88	6.973999977	220
8:12:54 PM	49.237303	-123.170273	64.80000305	59.20000076		86	7.315000057	220
8:12:55 PM	49.237236	-123.170277	64.80000305	66.13999939		86	7.330999851	234
8:12:56 PM	49.237168	-123.170282	64.80000305	73.34999847		89	7.498000145	203
8:12:57 PM	49.237099	-123.170286	64.80000305	80.79000092		90	7.657000065	177
8:12:58 PM	49.237028	-123.170289	64.80000305	88.48999786		92	7.747000217	154
8:12:59 PM	49.236957	-123.170292	64.80000305	96.30000305		93	7.981999874	154
8:13:00 PM	49.236881	-123.170295	64.80000305	104.6500015		96	8.088999748	146
8:13:01 PM	49.236812	-123.170294	64.80000305	112.2900009		97	7.794000149	147
8:13:02 PM	49.236738	-123.170294	64.80000305	120.4000015		97	8.119999886	176
8:13:03 PM	49.236661	-123.170297	64.80000305	128.9199982		97	8.342000008	176
8:13:04 PM	49.236589	-123.170300	64.80000305	136.9400024		91	8.375	203
8:13:05 PM	49.236512	-123.170304	64.80000305	145.5099945		92	8.345000267	203
8:13:06 PM	49.236430	-123.170302	64.80000305	154.6499939		93	8.824999809	195
8:13:07 PM	49.236357	-123.170300	64.80000305	162.7100067		96	8.477000237	195
8:13:08 PM	49.236274	-123.170295	64.80000305	171.9299927		96	8.739999771	195
8:13:09 PM	49.236196	-123.170289	64.40000153	180.6799927		97	8.883000374	183
8:13:10 PM	49.236110	-123.170288	64	190.1699982		97	9.461000443	211
8:13:11 PM	49.236032	-123.170281	63.59999847	198.8500061		98	9.008000374	203
8:13:12 PM	49.235950	-123.170272	63.20000076	208.0099945		98	9.013999939	203
8:13:13 PM	49.235874	-123.170267	62.59999847	216.4799957		97	8.645999908	176
8:13:14 PM	49.235794	-123.170265	62.59999847	225.4199982		97	8.866000175	153
8:13:15 PM	49.235717	-123.170264	62.59999847	233.9799957		99	8.692000389	159
8:13:16 PM	49.235638	-123.170264	62.59999847	242.75		99	8.831999779	159
8:13:17 PM	49.235559	-123.170265	62.59999847	251.4900055		100	9.12100029	164
8:13:18 PM	49.235475	-123.170267	62.59999847	260.8599854		101	9.109999657	150
8:13:19 PM	49.235391	-123.170268	62.59999847	270.2000122		0	9.402000427	0
8:13:20 PM	49.235311	-123.170266	62.59999847	279.1199951		0	9.272999763	0
8:13:21 PM	49.235233	-123.170272	62.20000076	287.8099976		0	8.857000351	0
8:13:22 PM	49.235163	-123.170271	61.79999924	295.5700073		0	8.831999779	0
8:13:23 PM	49.235089	-123.170267	61.40000153	303.7600098		0	8.376999855	0
8:13:24 PM	49.235035	-123.170273	61	309.8399963		0	7.136000156	0
8:13:25 PM	49.234980	-123.170275	60.59999847	315.9599915		0	6.65199995	0
8:13:26 PM	49.234937	-123.170277	60.59999847	320.7000122		0	5.515999794	0
8:13:27 PM	49.234907	-123.170275	60.59999847	324.0799866		0	4.131000042	0
8:13:28 PM	49.234885	-123.170282	60.59999847	326.4899902		0	3.171000004	0
8:13:29 PM	49.234871	-123.170293	60.59999847	328.2600098		0	2.211999893	0
8:13:30 PM	49.234863	-123.170298	60.59999847	329.1799927		0	1.478000045	0
8:13:31 PM	49.234866	-123.170297	60.59999847	329.1799927		0	0	0
8:13:32 PM	49.234868	-123.170298	60.59999847	329.1799927		0	0	0
8:13:40 PM	49.234805	-123.170296	60.59999847	329.1799927		32	1.998999953	296
8:13:41 PM	49.234768	-123.170289	60.59999847	333.3299866		47	3.303999901	424
8:13:42 PM	49.234712	-123.170255	60.59999847	339.9700012		47	4.866000175	424
8:13:43 PM	49.234649	-123.170239	60.59999847	347.0700073		73	6.236000061	321
8:13:44 PM	49.234581	-123.170234	60.59999847	354.5599976		76	6.997000217	209
8:13:45 PM	49.234519	-123.170236	60.59999847	361.3999939		82	6.994999886	197
8:13:46 PM	49.234457	-123.170238	60.59999847	368.25		82	6.809000015	197
8:13:47 PM	49.234382	-123.170236	60.59999847	376.4899902		88	7.290999889	143
8:13:48 PM	49.234309	-123.170242	60.59999847	384.5899963		90	7.386000156	112
8:13:49 PM	49.234226	-123.170252	60.59999847	393.7399902		91	7.59499979	94
8:13:50 PM	49.234150	-123.170260	60.59999847	402.1499939		88	7.605999947	62
8:13:51 PM	49.234071	-123.170260	60.59999847	410.980011		44	7.636000156	0
8:13:52 PM	49.233999	-123.170268	60.20000076	418.8699951		0	7.486999989	0
8:13:53 PM	49.233930	-123.170275	59.79999924	426.5299988		0	7.494999886	0
8:13:54 PM	49.233875	-123.170282	59.40000153	432.730011		0	6.386000156	0
8:13:55 PM	49.233826	-123.170289	58.79999924	438.1099854		0	5.481999874	0
8:13:56 PM	49.233778	-123.170291	58.40000153	443.5		63	5.34499979	298
8:13:57 PM	49.233727	-123.170290	58.40000153	449.1199951		63	5.538000107	298
8:13:58 PM	49.233669	-123.170300	58	455.5899963		72	6.339000225	328
8:13:59 PM	49.233606	-123.170304	57.59999847	462.6099854		72	6.670000076	328
8:14:00 PM	49.233547	-123.170303	57.20000076	469.2200012		78	6.822999954	227
8:14:01 PM	49.233480	-123.170301	56.79999924	476.6700134		78	7.040999889	227
8:14:02 PM	49.233414	-123.170301	56.40000153	483.9400024		81	7.054999828	204
8:14:03 PM	49.233348	-123.170307	56.40000153	491.3099976		82	7.027999878	183
8:14:04 PM	49.233284	-123.170309	56.40000153	498.480011		84	7.119999886	166
8:14:05 PM	49.233210	-123.170307	56.40000153	506.6799927		86	7.616000175	151
8:14:06 PM	49.233133	-123.170306	56.40000153	515.2800293		87	7.876999855	150
8:14:07 PM	49.233059	-123.170313	56.40000153	523.4899902		89	7.901000023	137
8:14:08 PM	49.232982	-123.170321	56.40000153	532.0999756		87	8.196000099	97
8:14:09 PM	49.232898	-123.170326	56.40000153	541.3900146		85	8.736000061	148
8:14:10 PM	49.232816	-123.170330	56.40000153	550.5499878		87	8.897000313	155
8:14:11 PM	49.232735	-123.170329	56	559.5599976		0	8.802000046	0
8:14:12 PM	49.232659	-123.170335	55.59999847	567.9799805		0	8.420000076	0
8:14:13 PM	49.232586	-123.170345	55.20000076	576.1599731		0	8.270000458	0
